
-------------- ТАБЛИЦА ЛЕКСЕМ  -------------------- Дата: 17.12.2017 12:51:06 ------------ 

|  № | Лексема | Строка | Индекс в ТИ |
-------------- ТАБЛИЦА ЛЕКСЕМ  -------------------- Дата: 17.12.2017 16:03:28 ------------ 

|  № | Лексема | Строка  | Индекс в ТИ |
|  0 |    t    |     1   |             |
|  1 |    f    |     1   |             |
|  2 |    i    |     1   |       0     |
|  3 |    (    |     1   |             |
|  4 |    t    |     1   |             |
|  5 |    i    |     1   |       1     |
|  6 |    )    |     1   |             |
|  7 |    [    |     1   |             |
|  8 |    e    |     1   |             |
|  9 |    l    |     1   |       2     |
| 10 |    ;    |     1   |             |
| 11 |    ]    |     1   |             |
| 12 |    m    |     2   |             |
| 13 |    [    |     2   |             |
